2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.9604644775390625e-06, "timestamp": "2026-01-31 15:38:57.297897", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00024580955505371094, "timestamp": "2026-01-31 15:38:57.298143", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.00039124488830566406, "timestamp": "2026-01-31 15:38:57.298280", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_espera", "valor": 0.304985, "timestamp": "2026-01-31 15:38:57.298504", "categoria": "atendimento", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5}}
2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_atender_proximo", "valor": 0.0008111000061035156, "timestamp": "2026-01-31 15:38:57.298696", "categoria": "triagem", "detalhes": {"funcao": "atender_proximo", "sucesso": true}}
2026-01-31 15:38:57,298 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 4.5299530029296875e-06, "timestamp": "2026-01-31 15:38:57.298903", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:38:57,299 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00021147727966308594, "timestamp": "2026-01-31 15:38:57.299110", "categoria": "performance", "detalhes": {"tamanho_fila": 2}}
2026-01-31 15:38:57,299 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.00037598609924316406, "timestamp": "2026-01-31 15:38:57.299273", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:46:34,766 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 1, "timestamp": "2026-01-31 15:46:34.766323", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:46:34,766 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.00010824203491210938, "timestamp": "2026-01-31 15:46:34.766431", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:46:34,867 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 2, "timestamp": "2026-01-31 15:46:34.866717", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:46:34,867 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.0007581710815429688, "timestamp": "2026-01-31 15:46:34.867447", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:46:35,068 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 3, "timestamp": "2026-01-31 15:46:35.068615", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:46:35,069 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.00035381317138671875, "timestamp": "2026-01-31 15:46:35.068962", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:46:35,069 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 3.147125244140625e-05, "timestamp": "2026-01-31 15:46:35.069487", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:46:35,069 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.0002834796905517578, "timestamp": "2026-01-31 15:46:35.069739", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:46:35,069 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0004277229309082031, "timestamp": "2026-01-31 15:46:35.069879", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.0067901611328125e-06, "timestamp": "2026-01-31 15:46:35.070198", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00020837783813476562, "timestamp": "2026-01-31 15:46:35.070400", "categoria": "performance", "detalhes": {"tamanho_fila": 3}}
2026-01-31 15:46:35,070 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.0003199577331542969, "timestamp": "2026-01-31 15:46:35.070510", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:46:35,070 | triagem_metricas | INFO | {"nome": "tempo_espera", "valor": 0.304391, "timestamp": "2026-01-31 15:46:35.070703", "categoria": "atendimento", "detalhes": {"paciente": "Jo\u00e3o Santos", "urgencia": 5}}
2026-01-31 15:46:35,070 | triagem_metricas | INFO | {"nome": "tempo_atender_proximo", "valor": 0.0006959438323974609, "timestamp": "2026-01-31 15:46:35.070883", "categoria": "triagem", "detalhes": {"funcao": "atender_proximo", "sucesso": true}}
2026-01-31 15:46:35,071 | triagem_metricas | INFO | {"nome": "tempo_ordenar_por_prioridade", "valor": 5.7220458984375e-06, "timestamp": "2026-01-31 15:46:35.071074", "categoria": "ordenacao", "detalhes": {"funcao": "ordenar_por_prioridade", "sucesso": true}}
2026-01-31 15:46:35,071 | triagem_metricas | INFO | {"nome": "tempo_ordenacao", "valor": 0.00019812583923339844, "timestamp": "2026-01-31 15:46:35.071268", "categoria": "performance", "detalhes": {"tamanho_fila": 2}}
2026-01-31 15:46:35,071 | triagem_metricas | INFO | {"nome": "tempo_obter_fila_ordenada", "valor": 0.000301361083984375, "timestamp": "2026-01-31 15:46:35.071369", "categoria": "triagem", "detalhes": {"funcao": "obter_fila_ordenada", "sucesso": true}}
2026-01-31 15:47:43,726 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 1, "timestamp": "2026-01-31 15:47:43.726043", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:47:43,726 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.00011372566223144531, "timestamp": "2026-01-31 15:47:43.726156", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:47:43,826 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 2, "timestamp": "2026-01-31 15:47:43.826470", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:47:43,827 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.0007860660552978516, "timestamp": "2026-01-31 15:47:43.827229", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
2026-01-31 15:47:44,028 | triagem_metricas | INFO | {"nome": "tamanho_fila", "valor": 3, "timestamp": "2026-01-31 15:47:44.028538", "categoria": "capacidade", "detalhes": {"operacao": "adicionar_paciente"}}
2026-01-31 15:47:44,029 | triagem_metricas | INFO | {"nome": "tempo_adicionar_paciente", "valor": 0.00035643577575683594, "timestamp": "2026-01-31 15:47:44.028889", "categoria": "triagem", "detalhes": {"funcao": "adicionar_paciente", "sucesso": true}}
